subject,protocol,method,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.55,0.55,0.54995499549955,0.09999999999999998
sub-001,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.48,0.48,0.4781212364512244,-0.040000000000000036
sub-001,within_session_5fold,CSP-LDA,ses-03,ses-03,99,99,0.5858585858585859,0.5859183673469388,0.5858585858585859,0.17180167312793304
sub-001,within_session_5fold,CSP-LDA,ses-04,ses-04,99,99,0.6060606060606061,0.6059183673469388,0.6058997652342554,0.2118799755052051
sub-001,within_session_5fold,CSP-LDA,ses-05,ses-05,94,94,0.5212765957446809,0.5217391304347826,0.5212224108658743,0.04341926729986434
sub-001,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5106382978723404,0.5108695652173914,0.5106382978723404,0.021719457013574694
sub-001,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.66,0.6599999999999999,0.6594551282051282,0.31999999999999995
sub-001,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.5,0.5,0.5,0.0
sub-001,within_session_5fold,FBCSP-LDA,ses-03,ses-03,99,99,0.6161616161616161,0.6161224489795918,0.6161224489795918,0.23224489795918368
sub-001,within_session_5fold,FBCSP-LDA,ses-04,ses-04,99,99,0.6464646464646465,0.646734693877551,0.6463203021333062,0.2932898225576178
sub-001,within_session_5fold,FBCSP-LDA,ses-05,ses-05,94,94,0.6914893617021277,0.6906702898550725,0.6906140052207468,0.38185941043083904
sub-001,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5212765957446809,0.5240036231884058,0.5146299483648881,0.047726249437190504
sub-002,within_session_5fold,CSP-LDA,ses-01,ses-01,92,92,0.7608695652173914,0.7608695652173914,0.7607565011820331,0.5217391304347826
sub-002,within_session_5fold,CSP-LDA,ses-02,ses-02,95,95,0.5473684210526316,0.5460992907801419,0.5400292759824343,0.0924239057987114
sub-002,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.48,0.4757125652348454,0.4747474747474747,-0.04881000403388458
sub-002,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.88,0.88,0.8799519807923168,0.76
sub-002,within_session_5fold,CSP-LDA,ses-05,ses-05,95,95,0.7473684210526316,0.7464507542147294,0.7466666666666666,0.4935584184806753
sub-002,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.49473684210526314,0.5102040816326531,0.3485714285714286,0.019776440240756754
sub-002,within_session_5fold,FBCSP-LDA,ses-01,ses-01,92,92,0.8260869565217391,0.8260869565217391,0.825344091124822,0.6521739130434783
sub-002,within_session_5fold,FBCSP-LDA,ses-02,ses-02,95,95,0.7052631578947368,0.7043439716312057,0.7025939177101967,0.4094138543516874
sub-002,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.57,0.5654355680449619,0.5647332725984411,0.13166397415185793
sub-002,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.76,0.76,0.7599039615846338,0.52
sub-002,within_session_5fold,FBCSP-LDA,ses-05,ses-05,95,95,0.7368421052631579,0.7375776397515528,0.7368421052631579,0.4742085454947974
sub-002,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5263157894736842,0.5108695652173914,0.3639339384020235,0.022410244683283675
sub-003,within_session_5fold,CSP-LDA,ses-01,ses-01,92,92,0.4782608695652174,0.47632575757575757,0.4760322733744661,-0.04743833017077792
sub-003,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.35,0.35,0.34941447302572315,-0.30000000000000004
sub-003,within_session_5fold,CSP-LDA,ses-03,ses-03,92,92,0.45652173913043476,0.4553191489361702,0.4542002847650688,-0.08953102794883949
sub-003,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.46,0.45999999999999996,0.45978391356542614,-0.08000000000000007
sub-003,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.64,0.64,0.64,0.28
sub-003,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.6,0.6,0.5894909688013137,0.19999999999999996
sub-003,within_session_5fold,FBCSP-LDA,ses-01,ses-01,92,92,0.5,0.5,0.4997635933806146,0.0
sub-003,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.61,0.61,0.60996099609961,0.21999999999999997
sub-003,within_session_5fold,FBCSP-LDA,ses-03,ses-03,92,92,0.5652173913043478,0.5640661938534279,0.5633602278120551,0.12837517764092843
sub-003,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.62,0.62,0.62,0.24
sub-003,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.65,0.6499999999999999,0.6491228070175439,0.30000000000000004
sub-003,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.5,0.5,0.37996031746031744,0.0
sub-004,within_session_5fold,CSP-LDA,ses-01,ses-01,87,87,0.5287356321839081,0.5282769556025371,0.5277373229180458,0.0565987833906374
sub-004,within_session_5fold,CSP-LDA,ses-02,ses-02,97,97,0.4742268041237113,0.47406462585034015,0.4740031897926635,-0.05188177758877299
sub-004,within_session_5fold,CSP-LDA,ses-03,ses-03,91,91,0.45054945054945056,0.4476744186046512,0.44727891156462585,-0.10490529383195724
sub-004,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.49,0.49,0.48994899489948995,-0.020000000000000018
sub-004,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.62,0.62,0.62,0.24
sub-004,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.57,0.57,0.5601023017902813,0.14
sub-004,within_session_5fold,FBCSP-LDA,ses-01,ses-01,87,87,0.5057471264367817,0.5050211416490487,0.5033851055356431,0.010055570256681579
sub-004,within_session_5fold,FBCSP-LDA,ses-02,ses-02,97,97,0.5670103092783505,0.5671768707482994,0.5669642857142857,0.13429664258393537
sub-004,within_session_5fold,FBCSP-LDA,ses-03,ses-03,91,91,0.6483516483516484,0.6460755813953488,0.6462585034013606,0.2928606119475474
sub-004,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.48,0.48,0.48,-0.040000000000000036
sub-004,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.79,0.79,0.78997899789979,0.5800000000000001
sub-004,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.62,0.62,0.5766488413547237,0.24
sub-005,within_session_5fold,CSP-LDA,ses-01,ses-01,94,94,0.48936170212765956,0.4893424036281179,0.4891304347826087,-0.02127659574468077
sub-005,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.97,0.97,0.96999699969997,0.94
sub-005,within_session_5fold,CSP-LDA,ses-03,ses-03,93,93,0.4838709677419355,0.48311748381128583,0.48093023255813955,-0.03381194997684123
sub-005,within_session_5fold,CSP-LDA,ses-04,ses-04,99,99,0.5050505050505051,0.5051020408163265,0.5050505050505051,0.01020199959192003
sub-005,within_session_5fold,CSP-LDA,ses-05,ses-05,89,89,0.5056179775280899,0.5027805864509606,0.5005102040816326,0.005586592178770999
sub-005,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,386,89,0.5393258426966292,0.5270475227502528,0.4606060606060606,0.05539735956510494
sub-005,within_session_5fold,FBCSP-LDA,ses-01,ses-01,94,94,0.5638297872340425,0.5643990929705215,0.5637804187889077,0.12844866576209857
sub-005,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.98,0.98,0.98,0.96
sub-005,within_session_5fold,FBCSP-LDA,ses-03,ses-03,93,93,0.5698924731182796,0.5689176688251618,0.5658263305322129,0.13809082483781276
sub-005,within_session_5fold,FBCSP-LDA,ses-04,ses-04,99,99,0.4444444444444444,0.44448979591836735,0.4444444444444444,-0.11099775556008984
sub-005,within_session_5fold,FBCSP-LDA,ses-05,ses-05,89,89,0.5393258426966292,0.5369059656218402,0.5355733740613465,0.0740928698299923
sub-005,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,386,89,0.5056179775280899,0.5156723963599595,0.46326754385964913,0.03069306930693083
sub-006,within_session_5fold,CSP-LDA,ses-01,ses-01,93,93,0.946236559139785,0.9465277777777779,0.9462116830537883,0.8924358084663429
sub-006,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.8404255319148937,0.8405797101449275,0.8404074702886248,0.6808510638297872
sub-006,within_session_5fold,CSP-LDA,ses-03,ses-03,95,95,0.9157894736842105,0.9153368794326242,0.9155555555555556,0.831410825199645
sub-006,within_session_5fold,CSP-LDA,ses-04,ses-04,92,92,0.9456521739130435,0.9453900709219858,0.9455943228858663,0.89120151371807
sub-006,within_session_5fold,CSP-LDA,ses-05,ses-05,95,95,0.7789473684210526,0.7777284826974268,0.7780620758705084,0.5565681262502779
sub-006,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,374,95,0.4421052631578947,0.440550133096717,0.43987095338747356,-0.11913758613025127
sub-006,within_session_5fold,FBCSP-LDA,ses-01,ses-01,93,93,0.6236559139784946,0.6215277777777778,0.6208503203261503,0.24390243902439024
sub-006,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.7978723404255319,0.7998188405797102,0.7967451917605555,0.5972034280559314
sub-006,within_session_5fold,FBCSP-LDA,ses-03,ses-03,95,95,0.7263157894736842,0.7265070921985816,0.7262854609929078,0.4528134692069118
sub-006,within_session_5fold,FBCSP-LDA,ses-04,ses-04,92,92,0.9239130434782609,0.924113475177305,0.923904052936311,0.8478260869565217
sub-006,within_session_5fold,FBCSP-LDA,ses-05,ses-05,95,95,0.5263157894736842,0.5261756876663709,0.5261057532424342,0.052316559521170536
sub-006,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,374,95,0.5368421052631579,0.5403726708074534,0.5326475849731663,0.08010563380281688
sub-007,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.65,0.65,0.64996499649965,0.30000000000000004
sub-007,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.42,0.42000000000000004,0.4190705128205128,-0.15999999999999992
sub-007,within_session_5fold,CSP-LDA,ses-03,ses-03,96,96,0.46875,0.46875,0.4682306940371457,-0.0625
sub-007,within_session_5fold,CSP-LDA,ses-04,ses-04,92,92,0.5978260869565217,0.5978260869565217,0.597397989355411,0.19565217391304346
sub-007,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.78,0.78,0.7796474358974359,0.56
sub-007,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,388,100,0.68,0.6799999999999999,0.6788438378161381,0.36
sub-007,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.49,0.49,0.4895405865278751,-0.020000000000000018
sub-007,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.57,0.5700000000000001,0.5699569956995699,0.14
sub-007,within_session_5fold,FBCSP-LDA,ses-03,ses-03,96,96,0.5729166666666666,0.5729166666666667,0.5728703201302224,0.14583333333333337
sub-007,within_session_5fold,FBCSP-LDA,ses-04,ses-04,92,92,0.5,0.5,0.49786426198386335,0.0
sub-007,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.53,0.53,0.5295766189570613,0.06000000000000005
sub-007,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,388,100,0.48,0.48,0.4120307553143374,-0.040000000000000036
sub-008,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.74,0.74,0.74,0.48
sub-008,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.5957446808510638,0.5957446808510638,0.5950113378684807,0.19148936170212771
sub-008,within_session_5fold,CSP-LDA,ses-03,ses-03,89,89,0.7640449438202247,0.7643939393939394,0.7639257294429709,0.5283875851627555
sub-008,within_session_5fold,CSP-LDA,ses-04,ses-04,96,96,0.4270833333333333,0.42708333333333337,0.4270211611502984,-0.14583333333333326
sub-008,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.6,0.6000000000000001,0.5985547972701726,0.19999999999999996
sub-008,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.5,0.5,0.3503118503118503,0.0
sub-008,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.59,0.5900000000000001,0.5889724310776943,0.18000000000000005
sub-008,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.4574468085106383,0.4574468085106383,0.4544213041993854,-0.0851063829787233
sub-008,within_session_5fold,FBCSP-LDA,ses-03,ses-03,89,89,0.550561797752809,0.5497474747474748,0.5477642276422765,0.09964592817400098
sub-008,within_session_5fold,FBCSP-LDA,ses-04,ses-04,96,96,0.4583333333333333,0.4583333333333333,0.4583333333333333,-0.08333333333333326
sub-008,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.54,0.54,0.5392628205128205,0.07999999999999996
sub-008,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.53,0.53,0.39673982800667434,0.06000000000000005
sub-009,within_session_5fold,CSP-LDA,ses-01,ses-01,98,98,0.40816326530612246,0.40791666666666665,0.40791666666666665,-0.1841666666666668
sub-009,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.54,0.54,0.5353535353535354,0.07999999999999996
sub-009,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.46,0.46,0.45804897631473307,-0.08000000000000007
sub-009,within_session_5fold,CSP-LDA,ses-04,ses-04,96,96,0.6145833333333334,0.6091304347826088,0.6049382716049383,0.22036874451273047
sub-009,within_session_5fold,CSP-LDA,ses-05,ses-05,99,99,0.494949494949495,0.49428571428571433,0.49241181296144376,-0.011442582754393138
sub-009,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,394,99,0.48484848484848486,0.48959183673469386,0.3430058555627846,-0.020618556701030855
sub-009,within_session_5fold,FBCSP-LDA,ses-01,ses-01,98,98,0.41836734693877553,0.41791666666666666,0.41782178217821786,-0.16423509795748226
sub-009,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.62,0.62,0.62,0.24
sub-009,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.54,0.54,0.537037037037037,0.07999999999999996
sub-009,within_session_5fold,FBCSP-LDA,ses-04,ses-04,96,96,0.4895833333333333,0.49086956521739133,0.48952794357026586,-0.018181818181818077
sub-009,within_session_5fold,FBCSP-LDA,ses-05,ses-05,99,99,0.7474747474747475,0.7471428571428571,0.747061829330608,0.4945885235858689
sub-009,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,394,99,0.494949494949495,0.49489795918367346,0.49489795918367346,-0.010204081632652962
sub-010,within_session_5fold,CSP-LDA,ses-01,ses-01,89,89,0.5617977528089888,0.5601617795753286,0.5597970830691186,0.12059792247276413
sub-010,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.5,0.5,0.49949020052112836,0.0
sub-010,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.53,0.53,0.5288220551378446,0.06000000000000005
sub-010,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.53,0.53,0.5295766189570613,0.06000000000000005
sub-010,within_session_5fold,CSP-LDA,ses-05,ses-05,97,97,0.4329896907216495,0.4340986394557823,0.426898700182619,-0.1314952279957582
sub-010,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.5051546391752577,0.5006377551020409,0.3841269841269841,0.0012870012870014325
sub-010,within_session_5fold,FBCSP-LDA,ses-01,ses-01,89,89,0.48314606741573035,0.480283114256825,0.4778061224489796,-0.03961401726764846
sub-010,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.5425531914893617,0.5425531914893618,0.542501414827391,0.08510638297872342
sub-010,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.53,0.53,0.52995299529953,0.06000000000000005
sub-010,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.69,0.69,0.6897207486738064,0.38
sub-010,within_session_5fold,FBCSP-LDA,ses-05,ses-05,97,97,0.6185567010309279,0.6186224489795918,0.6185567010309279,0.23719447396386828
sub-010,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.5051546391752577,0.5102040816326531,0.35333333333333333,0.02020202020202011
sub-011,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.61,0.6100000000000001,0.6080795899909557,0.21999999999999997
sub-011,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.5,0.49773242630385484,0.4972117901445317,-0.004547521600727578
sub-011,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.61,0.61,0.6096486838154338,0.21999999999999997
sub-011,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.48,0.48,0.4797919167667067,-0.040000000000000036
sub-011,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.52,0.52,0.52,0.040000000000000036
sub-011,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.43227899432278993,0.020000000000000018
sub-011,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.56,0.56,0.56,0.12
sub-011,within_session_5fold,FBCSP-LDA,ses-02,ses-02,94,94,0.4787234042553192,0.47551020408163264,0.47390062821245005,-0.04920273348519366
sub-011,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.41,0.41000000000000003,0.40518197398931344,-0.17999999999999994
sub-011,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.71,0.71,0.7097387648883995,0.42000000000000004
sub-011,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.62,0.6200000000000001,0.6186270574066639,0.24
sub-011,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.5,0.5,0.3333333333333333,0.0
sub-012,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.5,0.5,0.4967793880837359,0.0
sub-012,within_session_5fold,CSP-LDA,ses-02,ses-02,91,91,0.5714285714285714,0.5710144927536231,0.5705989110707803,0.14213197969543145
sub-012,within_session_5fold,CSP-LDA,ses-03,ses-03,97,97,0.5360824742268041,0.5361394557823129,0.5360824742268041,0.0722635494155155
sub-012,within_session_5fold,CSP-LDA,ses-04,ses-04,87,87,0.42528735632183906,0.4246031746031746,0.4246031746031746,-0.1507936507936507
sub-012,within_session_5fold,CSP-LDA,ses-05,ses-05,83,83,0.4578313253012048,0.4562647754137116,0.45498321902816286,-0.08607153242221588
sub-012,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.5060240963855421,0.4858156028368794,0.48164508758568164,-0.029029331720592744
sub-012,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.48,0.48,0.4797919167667067,-0.040000000000000036
sub-012,within_session_5fold,FBCSP-LDA,ses-02,ses-02,91,91,0.42857142857142855,0.4285024154589372,0.4285024154589372,-0.14299516908212562
sub-012,within_session_5fold,FBCSP-LDA,ses-03,ses-03,97,97,0.4639175257731959,0.4640731292517007,0.4638605442176871,-0.07182320441988965
sub-012,within_session_5fold,FBCSP-LDA,ses-04,ses-04,87,87,0.45977011494252873,0.4650793650793651,0.4492929292929293,-0.06901960784313732
sub-012,within_session_5fold,FBCSP-LDA,ses-05,ses-05,83,83,0.5060240963855421,0.48906619385342787,0.4869591436755616,-0.02222889756683699
sub-012,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4819277108433735,0.43528368794326244,0.3774638060352346,-0.13989140849568815
sub-013,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.81,0.81,0.8099809980998101,0.62
sub-013,within_session_5fold,CSP-LDA,ses-02,ses-02,94,94,0.5851063829787234,0.5857142857142856,0.5850594227504244,0.17096336499321574
sub-013,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.98,0.98,0.98,0.96
sub-013,within_session_5fold,CSP-LDA,ses-04,ses-04,95,95,0.6105263157894737,0.6111357586512867,0.6105263157894737,0.22182864733230023
sub-013,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.89,0.89,0.8899009108197378,0.78
