subject,method,protocol,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,epochs_ran_mean,epochs_ran_std,train_seconds_mean,train_seconds_std
sub-001,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5035460992907801,0.024568096561260674,0.5016606280193237,0.024094600174705945,0.49702278660741217,0.024177426718617247,0.0033610473909015206,0.04839063168099792,15.0,3.0,1.7857072353363037,0.19145903186297772
sub-002,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.6385964912280702,0.06167858186402437,0.6392339544513457,0.059801982912767546,0.6259009276946995,0.059327984765924345,0.27819832088741575,0.11944695355745798,41.666666666666664,9.71253485622231,2.935976584752401,0.6397878477750774
sub-003,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5533333333333333,0.03511884584284244,0.5533333333333333,0.03511884584284249,0.5493494671078336,0.03512503298237561,0.10666666666666669,0.07023769168568493,34.666666666666664,11.060440015358038,2.5435349146525064,0.7181103919982312
sub-004,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5,0.017320508075688787,0.5,0.017320508075688787,0.49366811592579446,0.020479732364167152,0.0,0.034641016151377574,17.666666666666668,3.2145502536643185,1.3000976244608562,0.18527423536310347
sub-005,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5355805243445693,0.028276533465433528,0.5368217054263565,0.02528858897616936,0.5312129901560111,0.033771588793363054,0.07358061745991536,0.05066999720946111,23.666666666666668,2.309401076758503,1.7162855466206868,0.17017210291177023
sub-006,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.7298245614035087,0.08442953975800675,0.7298876072167998,0.08522069063350211,0.7294861785077351,0.08493633894284497,0.45930939798240195,0.16980966180726914,16.666666666666668,2.886751345948129,1.163047234217326,0.18256507926561277
sub-007,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5266666666666666,0.056862407030773256,0.5266666666666667,0.05686240703077332,0.5244736549234741,0.05771105133526137,0.053333333333333344,0.11372481406154658,23.0,10.535653752852738,1.6021333535512288,0.6304276471164362
sub-008,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.4633333333333333,0.03214550253664318,0.4633333333333333,0.03214550253664319,0.4601817380395348,0.034484703910182456,-0.0733333333333334,0.06429100507328642,32.0,12.529964086141668,2.2239631017049155,0.7646698091371507
sub-009,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5252525252525253,0.020202020202020166,0.5250340136054421,0.020922431992688766,0.5226659117329379,0.023889480851495358,0.05004478997271966,0.04180803983933316,25.666666666666668,16.072751268321593,1.8534660339355469,1.0439829204641442
sub-010,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5257731958762887,0.044937102510728556,0.5284863945578231,0.04352805108300017,0.48117059784012056,0.08212312778277356,0.05682239338294167,0.08686364303455799,18.666666666666668,6.658328118479393,1.3758199214935303,0.4008562936271148
sub-011,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5433333333333333,0.0832666399786453,0.5433333333333333,0.0832666399786453,0.5390142383600466,0.08320742136462547,0.08666666666666663,0.16653327995729067,21.333333333333332,9.451631252505216,1.4196490446726482,0.63619176350394
sub-012,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.46987951807228917,0.055211755360913745,0.469070133963751,0.04417856935772478,0.46481804603454013,0.049908904254470365,-0.059471248026035574,0.08489867123741827,20.0,5.0,1.270345687866211,0.3477322035309497
sub-013,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.49666666666666665,0.11503622617824931,0.49666666666666665,0.11503622617824931,0.44333250451667333,0.12447843671522511,-0.006666666666666672,0.23007245235649862,24.666666666666668,11.372481406154654,1.769877592722575,0.7592615466943059
sub-014,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.52,0.026457513110645932,0.52,0.026457513110645932,0.5116529139126942,0.03614220060886483,0.04,0.052915026221291815,16.0,2.6457513110645907,1.0488801797231038,0.15983802141443415
sub-015,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5238095238095238,0.04822260843114904,0.5213888888888889,0.04941029563577632,0.5135806758639124,0.05638632801689385,0.042812984013502274,0.09920747277277167,32.666666666666664,5.033222956847166,2.1171956857045493,0.287089666794004
sub-016,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.47985347985347987,0.05420750398149723,0.4882333978078659,0.05389098124820582,0.43946640987237723,0.06629046109258707,-0.023091741399460835,0.10588827776772845,31.666666666666668,15.56705923844749,2.264873186747233,1.0096411612439267
sub-017,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.4666666666666667,0.024309485018510536,0.4671247044917258,0.02501619793229265,0.4643374879725743,0.020380290119677825,-0.06572959243208094,0.05003263590135925,15.333333333333334,5.8594652770823155,1.0451236565907795,0.40342591725092797
sub-018,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5733333333333334,0.08736894948054107,0.5733333333333334,0.087368949480541,0.5668313724308662,0.09195192480225252,0.14666666666666664,0.17473789896108208,17.0,6.0,1.1234943866729736,0.389696414128956
sub-019,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.7132616487455198,0.027060338477672915,0.7193877551020408,0.02921341604081586,0.7114439955489766,0.02547098698842698,0.43260170055836306,0.055792758907030574,17.666666666666668,4.618802153517006,1.173957347869873,0.2701242662361828
sub-020,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.8533333333333333,0.11930353445448853,0.8533333333333333,0.11930353445448852,0.8463442441037922,0.13054118262904663,0.7066666666666667,0.23860706890897712,15.333333333333334,5.773502691896258,1.0243643919626872,0.3961434758968736
sub-021,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.7430555555555556,0.07535602227156493,0.7429439861050803,0.07670924849871677,0.7420014789745096,0.07707655200338619,0.4856197123639229,0.15236269087512058,25.333333333333332,2.886751345948129,1.687822977701823,0.19196062082444057
sub-022,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5985663082437276,0.040709020400001926,0.5995370370370371,0.041226455433034964,0.5981031670562967,0.040944396971840435,0.19846954740087652,0.0820395605601132,19.333333333333332,3.7859388972001824,1.2511920134226482,0.24026652378512206
sub-023,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.6494845360824743,0.03717063170581431,0.6505102040816326,0.03614508259517371,0.6433168865433164,0.04184848389542138,0.30048154268113353,0.07283577402401911,27.333333333333332,2.516611478423583,1.776842435201009,0.1427245462857223
sub-024,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.53,0.010000000000000009,0.53,0.010000000000000009,0.5276439630512584,0.010714962997945856,0.06000000000000002,0.019999999999999962,16.333333333333332,3.2145502536643185,1.055256446202596,0.20981966164304455
sub-025,EEGNet-compressed,cross_session_train_1-4_test_5,3,0.5333333333333333,0.023094010767585053,0.5333333333333333,0.023094010767585053,0.46691089402437064,0.08514773600910197,0.0666666666666667,0.046188021535170036,18.333333333333332,12.701705922171767,1.2954522768656414,0.8151168172559355
