subject,protocol,method,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EEGNet-compressed,2024,12,2,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.5319148936170213,0.5294384057971014,0.52416014726185,0.059144676979072,1.607051134109497
sub-002,cross_session_train_1-4_test_5,EEGNet-compressed,2024,44,34,0.819078947368421,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.6842105263157895,0.6892191659272404,0.6781842818428184,0.37445127304653203,3.112110137939453
sub-003,cross_session_train_1-4_test_5,EEGNet-compressed,2024,23,13,0.6238191632928476,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.55,0.55,0.5444883085332524,0.09999999999999998,1.7767536640167236
sub-004,cross_session_train_1-4_test_5,EEGNet-compressed,2024,19,9,0.6944444444444444,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.49,0.49,0.4782608695652174,-0.020000000000000018,1.3634846210479736
sub-005,cross_session_train_1-4_test_5,EEGNet-compressed,2024,25,15,0.6153846153846154,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.5617977528089888,0.5616784630940344,0.5615763546798029,0.12326345036625408,1.7880535125732422
sub-006,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.8942307692307692,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.7368421052631579,0.7375776397515528,0.7368421052631579,0.4742085454947974,1.0923817157745361
sub-007,cross_session_train_1-4_test_5,EEGNet-compressed,2024,34,24,0.6666666666666667,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.59,0.5900000000000001,0.5896306676008407,0.18000000000000005,2.2798476219177246
sub-008,cross_session_train_1-4_test_5,EEGNet-compressed,2024,31,21,0.7368421052631579,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.45,0.44999999999999996,0.4405452141186044,-0.10000000000000009,2.1787683963775635
sub-009,cross_session_train_1-4_test_5,EEGNet-compressed,2024,14,4,0.5833333333333333,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.5050505050505051,0.5038775510204081,0.4976700838769804,0.007772550623849406,1.1358931064605713
sub-010,cross_session_train_1-4_test_5,EEGNet-compressed,2024,23,13,0.6369770580296896,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5773195876288659,0.5784438775510204,0.572779031045225,0.15652173913043477,1.6586861610412598
sub-011,cross_session_train_1-4_test_5,EEGNet-compressed,2024,14,4,0.569551282051282,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.45,0.45,0.4472917294744247,-0.10000000000000009,0.954681396484375
sub-012,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.5992176386913229,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.40963855421686746,0.42021276595744683,0.4092955700798838,-0.1531046214913525,0.9275197982788086
sub-013,cross_session_train_1-4_test_5,EEGNet-compressed,2024,28,18,0.7697368421052632,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.61,0.61,0.5793334052421529,0.21999999999999997,1.9750747680664062
sub-014,cross_session_train_1-4_test_5,EEGNet-compressed,2024,18,8,0.6469161469161469,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.53,0.53,0.5242433444680635,0.06000000000000005,1.1649367809295654
sub-015,cross_session_train_1-4_test_5,EEGNet-compressed,2024,32,22,0.7606837606837606,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5408163265306123,0.5379166666666667,0.5298006184028148,0.07624633431085048,2.0875418186187744
sub-016,cross_session_train_1-4_test_5,EEGNet-compressed,2024,48,38,0.683974358974359,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.4175824175824176,0.4260154738878143,0.3814287546492241,-0.14533364996437914,3.3167483806610107
sub-017,cross_session_train_1-4_test_5,EEGNet-compressed,2024,13,3,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.45263157894736844,0.4525709219858156,0.4525709219858156,-0.09485815602836878,0.8787236213684082
sub-018,cross_session_train_1-4_test_5,EEGNet-compressed,2024,11,1,0.6423076923076924,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.5,0.5,0.48686371100164205,0.0,0.7179439067840576
sub-019,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.631578947368421,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.7419354838709677,0.7504638218923934,0.7382739212007505,0.4918032786885246,1.034055471420288
sub-020,cross_session_train_1-4_test_5,EEGNet-compressed,2024,12,2,0.8333333333333334,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.72,0.72,0.6996996996996997,0.43999999999999995,0.7984268665313721
sub-021,cross_session_train_1-4_test_5,EEGNet-compressed,2024,27,17,0.8461538461538461,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.65625,0.6545809813287018,0.6532019704433498,0.31010452961672474,1.7961506843566895
sub-022,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.5806451612903226,0.5826388888888889,0.5798679485694429,0.1644782308223912,0.9933586120605469
sub-023,cross_session_train_1-4_test_5,EEGNet-compressed,2024,27,17,0.7948717948717949,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6907216494845361,0.6904761904761905,0.6904255319148935,0.38111441939600166,1.7976157665252686
sub-024,cross_session_train_1-4_test_5,EEGNet-compressed,2024,20,10,0.5588235294117647,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.53,0.53,0.5276856597326902,0.06000000000000005,1.2898914813995361
sub-025,cross_session_train_1-4_test_5,EEGNet-compressed,2024,33,23,0.4947447447447448,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.56,0.56,0.5452666391070691,0.12,2.236539602279663
sub-001,cross_session_train_1-4_test_5,EEGNet-compressed,3407,18,8,0.575,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.48936170212765956,0.48641304347826086,0.4777777777777778,-0.02732240437158473,1.987809658050537
sub-002,cross_session_train_1-4_test_5,EEGNet-compressed,3407,31,21,0.8203947368421052,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.6631578947368421,0.6555013309671694,0.638095238095238,0.31562359297613685,2.226571559906006
sub-003,cross_session_train_1-4_test_5,EEGNet-compressed,3407,45,35,0.6356275303643725,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.59,0.5900000000000001,0.5866518802298619,0.18000000000000005,3.200270414352417
sub-004,cross_session_train_1-4_test_5,EEGNet-compressed,3407,20,10,0.6794871794871795,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.49,0.49,0.4858352656517794,-0.020000000000000018,1.445359230041504
sub-005,cross_session_train_1-4_test_5,EEGNet-compressed,3407,25,15,0.6282051282051282,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.5056179775280899,0.5111223458038423,0.49484004127966974,0.02197802197802201,1.8388173580169678
sub-006,cross_session_train_1-4_test_5,EEGNet-compressed,3407,20,10,0.9326923076923077,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.6421052631578947,0.6410825199645076,0.6411111111111112,0.2825410928476233,1.370382308959961
sub-007,cross_session_train_1-4_test_5,EEGNet-compressed,3407,13,3,0.6282051282051282,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.51,0.51,0.5039983804028747,0.020000000000000018,1.0331315994262695
sub-008,cross_session_train_1-4_test_5,EEGNet-compressed,3407,20,10,0.7236842105263157,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.44,0.44,0.44,-0.1200000000000001,1.4828929901123047
sub-009,cross_session_train_1-4_test_5,EEGNet-compressed,3407,44,34,0.6701923076923078,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.5252525252525253,0.5255102040816326,0.5250586914361539,0.05098919029165816,3.051131010055542
sub-010,cross_session_train_1-4_test_5,EEGNet-compressed,3407,11,1,0.5951417004048583,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.4948453608247423,0.4987244897959184,0.4141501294219154,-0.0025311115798354322,0.9170923233032227
sub-011,cross_session_train_1-4_test_5,EEGNet-compressed,3407,32,22,0.6717948717948719,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.57,0.57,0.5601023017902813,0.14,2.1446709632873535
sub-012,cross_session_train_1-4_test_5,EEGNet-compressed,3407,25,15,0.5885490753911806,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.5180722891566265,0.5062056737588653,0.5059523809523809,0.012492563950029845,1.6227848529815674
sub-013,cross_session_train_1-4_test_5,EEGNet-compressed,3407,34,24,0.8085526315789473,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.5,0.5,0.415614773258532,0.0,2.405451536178589
sub-014,cross_session_train_1-4_test_5,EEGNet-compressed,3407,13,3,0.659043659043659,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.49,0.49,0.4708994708994709,-0.020000000000000018,0.8665685653686523
sub-015,cross_session_train_1-4_test_5,EEGNet-compressed,3407,28,18,0.704059829059829,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.46938775510204084,0.4658333333333333,0.4508620689655172,-0.06879194630872498,1.8460838794708252
sub-016,cross_session_train_1-4_test_5,EEGNet-compressed,3407,30,20,0.733974358974359,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.5164835164835165,0.5203094777562862,0.5117073170731707,0.04026845637583898,2.174302339553833
sub-017,cross_session_train_1-4_test_5,EEGNet-compressed,3407,11,1,0.5125,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.49473684210526314,0.49601063829787234,0.4878706199460916,-0.007957559681697646,0.7515137195587158
sub-018,cross_session_train_1-4_test_5,EEGNet-compressed,3407,23,13,0.5567307692307693,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.55,0.55,0.5463252343986289,0.09999999999999998,1.4951183795928955
sub-019,cross_session_train_1-4_test_5,EEGNet-compressed,3407,23,13,0.6578947368421053,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.7096774193548387,0.7152133580705009,0.7084639498432602,0.4250057247538356,1.4853367805480957
sub-020,cross_session_train_1-4_test_5,EEGNet-compressed,3407,12,2,0.8333333333333334,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.95,0.95,0.949874686716792,0.9,0.7928860187530518
sub-021,cross_session_train_1-4_test_5,EEGNet-compressed,3407,27,17,0.7953947368421053,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.78125,0.7818063395570993,0.781226261530114,0.5628794449262793,1.801133632659912
sub-022,cross_session_train_1-4_test_5,EEGNet-compressed,3407,21,11,0.7564102564102564,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.6451612903225806,0.6465277777777778,0.6449971081550029,0.2920415224913494,1.2913987636566162
sub-023,cross_session_train_1-4_test_5,EEGNet-compressed,3407,30,20,0.8585526315789473,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6391752577319587,0.6409438775510204,0.6290833606467825,0.2808726964626139,1.9080419540405273
sub-024,cross_session_train_1-4_test_5,EEGNet-compressed,3407,14,4,0.5441176470588236,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.54,0.54,0.5383380168606985,0.07999999999999996,0.8856503963470459
sub-025,cross_session_train_1-4_test_5,EEGNet-compressed,3407,11,1,0.5525525525525525,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.52,0.52,0.37629937629937626,0.040000000000000036,0.8114397525787354
sub-001,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.48936170212765956,0.4891304347826087,0.4891304347826087,-0.021739130434782705,1.762260913848877
sub-002,cross_session_train_1-4_test_5,EEGNet-compressed,42,50,43,0.7960526315789473,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.5684210526315789,0.5729813664596273,0.5614232631460421,0.14452009663957832,3.469248056411743
sub-003,cross_session_train_1-4_test_5,EEGNet-compressed,42,36,26,0.6363022941970311,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.52,0.52,0.5169082125603865,0.040000000000000036,2.653580665588379
sub-004,cross_session_train_1-4_test_5,EEGNet-compressed,42,14,4,0.6036324786324786,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.52,0.52,0.5169082125603865,0.040000000000000036,1.0914490222930908
sub-005,cross_session_train_1-4_test_5,EEGNet-compressed,42,21,11,0.6538461538461539,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.5393258426966292,0.5376643073811931,0.5372225745085606,0.07550038003547,1.5219857692718506
sub-006,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.9455128205128205,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.8105263157894737,0.8110026619343389,0.8105053191489362,0.6211785556047851,1.0263776779174805
sub-007,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.6282051282051282,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.48,0.48,0.4797919167667067,-0.040000000000000036,1.4934208393096924
sub-008,cross_session_train_1-4_test_5,EEGNet-compressed,42,45,35,0.7763157894736843,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.5,0.5,0.5,0.0,3.010227918624878
sub-009,cross_session_train_1-4_test_5,EEGNet-compressed,42,19,9,0.6192307692307693,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.5454545454545454,0.5457142857142857,0.5452689598856792,0.09137262900265142,1.3733739852905273
sub-010,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.5860323886639676,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5051546391752577,0.5082908163265306,0.45658263305322133,0.01647655259822567,1.5516812801361084
sub-011,cross_session_train_1-4_test_5,EEGNet-compressed,42,18,8,0.6067307692307693,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.61,0.61,0.6096486838154338,0.21999999999999997,1.1595947742462158
sub-012,cross_session_train_1-4_test_5,EEGNet-compressed,42,20,10,0.5344950213371266,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.4819277108433735,0.4807919621749409,0.47920618707135565,-0.03780168653678406,1.2607324123382568
sub-013,cross_session_train_1-4_test_5,EEGNet-compressed,42,12,2,0.7684210526315789,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.38,0.38,0.33504933504933504,-0.24,0.9291064739227295
sub-014,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.5280665280665281,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.54,0.54,0.5398159263705482,0.07999999999999996,1.1151351928710938
sub-015,cross_session_train_1-4_test_5,EEGNet-compressed,42,38,28,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5612244897959183,0.5604166666666667,0.5600793402234053,0.12098456403838131,2.417961359024048
sub-016,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.6724358974358975,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.5054945054945055,0.5183752417794971,0.42526315789473684,0.03578996939015766,1.3035688400268555
sub-017,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.6125,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.45263157894736844,0.45279255319148937,0.4525709219858156,-0.09437306158617642,1.5051336288452148
sub-018,cross_session_train_1-4_test_5,EEGNet-compressed,42,17,7,0.6708333333333334,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.67,0.6699999999999999,0.6673051718923279,0.33999999999999997,1.1574208736419678
sub-019,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.7217602217602217,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.6881720430107527,0.6924860853432282,0.687594115602919,0.38099609823272895,1.0024797916412354
sub-020,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.8333333333333333,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.89,0.8899999999999999,0.8894583458948849,0.78,1.4817802906036377
sub-021,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.858974358974359,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.7916666666666666,0.7924446374294398,0.7915762049500652,0.5838751625487646,1.4661846160888672
sub-022,cross_session_train_1-4_test_5,EEGNet-compressed,42,22,12,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.5698924731182796,0.5694444444444444,0.5694444444444444,0.13888888888888895,1.4688186645507812
sub-023,cross_session_train_1-4_test_5,EEGNet-compressed,42,25,15,0.8076923076923077,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6185567010309279,0.6201105442176871,0.6104417670682731,0.23945751218478495,1.6248695850372314
sub-024,cross_session_train_1-4_test_5,EEGNet-compressed,42,15,5,0.6029411764705883,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.52,0.52,0.5169082125603865,0.040000000000000036,0.990227460861206
sub-025,cross_session_train_1-4_test_5,EEGNet-compressed,42,11,1,0.4496996996996997,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.52,0.52,0.47916666666666663,0.040000000000000036,0.8383774757385254
